Price_Change_Category,Trade_Volume,Trend_Strength,Sector
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Strong Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Strong Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,High,Moderate Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Big Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Strong Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Moderate Gain,Tech
Big Drop,High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Big Drop,High,Moderate Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Big Drop,High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,High,Moderate Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,High,Moderate Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Big Rise,High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Big Rise,High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Moderate Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,Very High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Moderate Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Drop,High,Moderate Loss,Tech
Small Drop,High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Small Rise,High,Small Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,High,Moderate Gain,Tech
Big Rise,Very High,Moderate Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Small Rise,Very High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Rise,Very High,Small Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Drop,Very High,Moderate Loss,Tech
Big Rise,Very High,Moderate Gain,Tech
Small Rise,Very High,Small Gain,Tech
Big Rise,High,Small Gain,Tech
Small Drop,High,Small Loss,Tech
Big Drop,Very High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Small Drop,High,Small Loss,Tech
Big Rise,Very High,Strong Gain,Tech
Big Drop,Very High,Moderate Loss,Tech
Small Rise,High,Small Gain,Tech
Small Drop,Very High,Small Loss,Tech
Big Rise,High,Small Gain,Tech
