Direction,Price_Change_Category,PercentageChange_Category,Volume_Category
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Significant Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Moderate Loss,High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Small Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,Very High
Up,Small Rise,Neutral,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,Very High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Neutral,High
Down,Small Drop,Neutral,High
Up,Big Rise,Significant Gain,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Neutral,High
Down,Small Drop,Moderate Loss,Very High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Neutral,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Big Rise,Significant Gain,Very High
Up,Small Rise,Neutral,Very High
Down,Big Drop,Moderate Loss,High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Down,Big Drop,Moderate Loss,Very High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,Very High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Up,Big Rise,Moderate Gain,Very High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,Very High
Down,Small Drop,Neutral,High
Up,Big Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,Medium
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Up,Big Rise,Moderate Gain,Very High
Up,Small Rise,Neutral,High
Up,Small Rise,Moderate Gain,High
Down,Small Drop,Neutral,High
Down,Big Drop,Moderate Loss,High
Down,Small Drop,Neutral,High
